TestCaseName,InternetExplorer,FireFox,GoogleChrome,Err_Msg,LastRunDateTimeStamp
SearchAndFilter_61_0_SingleSearch,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_61_1,,Fail,,expected [University of Arizona] but found [Jack Henry - Corporate],2013/10/18 15:18:36 - FF
SearchAndFilter_61_2,,Fail,,WWT Customer value is upper/lower case. expected [University of Arizona] but found [Maritz],2013/10/18 15:18:36 - FF
SearchAndFilter_61_0_MultipleSearch,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_7_0_SingleSearch,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_7_1,,Fail,,expected [University of Arizona] but found [Jack Henry - Corporate],2013/10/18 15:18:36 - FF
SearchAndFilter_7_2,,Fail,,WWT Customer value is upper/lower case. expected [University of Arizona] but found [Maritz],2013/10/18 15:18:36 - FF
SearchAndFilter_7_0_MultipleSearch,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_8_0_SingleSearch,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_8_1,,Fail,,expected [University of Arizona] but found [Jack Henry - Corporate],2013/10/18 15:18:36 - FF
SearchAndFilter_8_2,,Fail,,WWT Customer value is upper/lower case. expected [University of Arizona] but found [Maritz],2013/10/18 15:18:36 - FF
SearchAndFilter_8_0_MultipleSearch,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_20_0,,Pass,,,2013/10/18 15:18:36 - FF
"""selector"":""div#content-main div#result-navigation div.notification-position button.btn""}
Command duration or timeout: 60.09 seconds
For documentation on this error",null,null,null,"Unable to locate element: {""method"":""css selector""","2013/10/18 15:18:36 -  please visit: http://seleniumhq.org/exceptions/no_such_element.html
Build info: version: '2.35.0'"
"""selector"":""div[id='result-navigation'] div[class='pull-left notification-position'] span[class='notification not-found-notify-success notification-green ng-binding']""}
Command duration or timeout: 60.10 seconds
For documentation on this error",null,null,null,"Unable to locate element: {""method"":""css selector""","2013/10/18 15:18:36 -  please visit: http://seleniumhq.org/exceptions/no_such_element.html
Build info: version: '2.35.0'"
SearchAndFilter_22_0,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_22_1,,Pass,,,2013/10/18 15:18:36 - FF
SearchAndFilter_22_2,,Fail,,the 'String Values' in header of page matches what shows in the sort desc expected [false] but found [true],2013/10/18 15:18:36 - FF
SearchAndFilter_22_3,,Pass,,,2013/10/18 15:18:36 - FF
LineAndDetailDisplay_1_10,,Pass,,,2013/10/18 15:18:36 - FF
LineAndDetailDisplay_1_11,,Pass,,,2013/10/18 15:18:36 - FF
LineAndDetailDisplay_1_12,,Pass,,,2013/10/18 15:18:36 - FF
LineAndDetailDisplay_1_13,,Pass,,,2013/10/18 15:18:36 - FF
 revision: '8df0c6b',null,null,null,"Element is not currently visible and so may not be interacted with
Command duration or timeout: 60.11 seconds
Build info: version: '2.35.0'","2013/10/18 15:18:36 -  time: '2013-08-12 15:43:19'
System info: os.name: 'Windows 7'"
