TESTCASENAME,,EXEC_IND,,"Parameters(separated with comma(,) )",Param1Value,Param2Value,Param3Value,Param4Value,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_3_1,,N,,"searchByContractNum, contractNum, verifyCustName",Contract #,1001416,"Jack Henry - Corporate, ASRC Corp",,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_3_2,,N,,"searchByContractNum, contractNum, verifyCustName",Contract #,1001416,"Jack Henry - Corporate, ASRC Corp",,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_3_3,,N,,"searchByContractNum, searchVal1, searchVal2, searchVal3",Contract #,1001416,1043131,123456,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_4_0_SingleSearch,,N,,"searchByCustomerPONum, customerPONum",Customer PO #,2400151001,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_4_1,,N,,"searchByCustomerPONum, customerPONum, verifyCustName",Customer PO #,2400151001,"Jack Henry - Corporate, ASRC Corp",,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_4_2,,N,,"searchByCustomerPONum, customerPONum, verifyCustName",Customer PO #,2400151001,"Jack Henry - Corporate, ASRC Corp",,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_4_0_MultipleSearch,,N,,"searchByCustomerPONum, searchVal1, searchVal2, searchVal3",Customer PO #,2400151001,81378,123456,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_41_0_SingleSearch,,N,,"searchByInstanceNum, instanceNum",Instance #,310414421,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_41_1,,N,,"searchByInstanceNum, instanceNum, verifyCustName",Instance #,310414421,"Jack Henry - Corporate, ASRC Corp",,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_41_2,,N,,"searchByInstanceNum, instanceNum, custName",Instance #,310414421,"Jack Henry - Corporate, ASRC Corp",,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_41_0_MultipleSearch,,N,,"searchByInstanceNum, searchVal1, searchVal2, searchVal3",Instance #,310414421,310414829,123456,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_42_0_SingleSearch,,N,,"searchByMaintenancePONum, maintainancePONum",Maintenance PO #,2325334,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_42_1,,N,,"searchByMaintenancePONum, maintainancePONum, verifyCustValue",Maintenance PO #,2325334,University of Arizona,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_42_2,,N,,"searchByMaintenancePONum, maintainancePONum, custName",Maintenance PO #,2325334,University of Arizona,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_42_0_MultipleSearch,,N,,"searchByMaintenancePONum, searchVal1, searchVal2, searchVal3",Maintenance PO #,2325334,2323871,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_5_0_SingleSearch,,N,,"searchByPartNum, partNum",Part #,C2901-VSEC/K9,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_5_1,,N,,"searchByPartNum, partNum, verifyCustName",Part #,C2901-VSEC/K9,Jack Henry - Matrix Group,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_5_2,,N,,"searchByPartNum, partNum, custName",Part #,C2901-VSEC/K9,Boeing,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_5_0_MultipleSearch,,N,,"searchByPartNum, searchVal1, searchVal2, searchVal3",Part #,C2901-VSEC/K9,MNOP,ABCD,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_6_0_SingleSearch,,N,,"searchByPartLabel, partLabelName",Part Label,11n12-4-cir1,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_6_1,,N,,"searchByPartLabel, partLabelName, verifyCustName",Part Label,11n12-4-cir1,University of Arizona,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_6_2,,N,,"searchByPartLabel, partLabelName, custName",Part Label,11n12-4-cir1,University of Arizona,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_6_0_MultipleSearch,,N,,"searchByPartLabel, searchVal1, searchVal2, searchVal3",Part Label,11n12-4-cir1,158-101a-cir1,sea_asa2,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_61_0_SingleSearch,,N,,"searchByProductPONum, productPONum",Product PO #,2205916,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_61_1,,N,,"searchByProductPONum, productPONum, verifyCustName",Product PO #,2205916,University of Arizona,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_61_2,,N,,"searchByProductPONum, productPONum, custName",Product PO #,2205916,University of Arizona,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_61_0_MultipleSearch,,N,,"searchByProductPONum, searchVal1, searchVal2, searchVal3",Product PO #,2205916,2205916,123,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_7_0_SingleSearch,,N,,"searchBySerialNum, serialNum",Serial #,FTX16148623,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_7_1,,N,,"searchBySerialNum, serialNum, verifyCustName",Serial #,FTX16148623,University of Arizona,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_7_2,,N,,"searchBySerialNum, serialNum, custName",Serial #,FTX16148623,University of Arizona,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_7_0_MultipleSearch,,N,,"searchBySerialNum, searchVal1, searchVal2, searchVal3",Serial #,FTX16148623,FTX1446A0DY,ABCDEF,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_8_0_SingleSearch,,N,,"searchBySiteID, siteIDNum",Site ID,404282456,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_8_1,,N,,"searchBySiteID, siteIDNum, verifyCustName",Site ID,404282456,University of Arizona,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_8_2,,N,,"searchBySiteID, siteIDNum, custName",Site ID,404282456,University of Arizona,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_8_0_MultipleSearch,,N,,"searchBySiteID, searchVal1, searchVal2, searchVal3",Site ID,404282456,404244563,4042,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_20_0,,N,,"selectSearchOption, verifyColumnName",Contract #,1001416,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_21_0,,N,,"selectSearchOption, verifyColumnName",Contract #,1.00142E+11,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_20_21,,N,,"selectSearchOption, searchVal1, searchVal2",Contract #,1001416,777777,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_22_0,,N,,"selectSearchOption, searchData, sortColumnName, sortType",Contract #,1001416,End Date,desc,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_22_1,,N,,"selectSearchOption, searchData, sortColumnName, sortType",Contract #,1001416,End Date,asc,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_22_2,,N,,"selectSearchOption, searchData, sortColumnName, sortType",Contract #,1001416,Serial Number,desc,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_22_3,,N,,"selectSearchOption, searchData, sortColumnName, sortType",Contract #,1001416,Serial Number,asc,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_24_0,,N,,searchFilterValue,Product PO # Maintenance PO #,,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_24_1,,N,,tiedCustName,"Ed Jones, Savvis",,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_24_2,,N,,"colName, siteFacetSearchVal",Site Name,BANK OF,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_24_3,,N,,facetNameToVerify,cl_wwt_sales_channel-icon,,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_24_4,,N,,"verifyDateTypeListNamesInDateFacet, contractPageColHeaderName, fromToDateType","Maintenance PO Order Date, Product PO Order Date, Product PO Ship Date",Earliest End Date,End Date,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_24_5,,N,,"verifyListStatusTypes, verifyListStatusChxBoxName",Publish Flag Filter,Needs Review,,,,,,,,,,,,,,,,,,,,,,
SearchAndFilter_24_6,,N,,contractTabHeaderList,"Published, Not Published, Needs Review",,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_1_10,,N,,"selectSearchOption, searchData, hideColumnName",Contract #,1001416,Contract #,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_1_11,,N,,unHideColumnName,Contract #,,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_1_12,,N,,"selectSearchOption, searchData, freezeColumnName",Contract #,1001416,Maintenance PO #,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_1_13,,N,,unFreezeColumnName,Contract #,1001416,Contract #,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_1_14,,N,,"selectSearchOption, searchData, freezeDateTypeColumnName,  sortType",Contract #,1001416,End Of Support,desc,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_2_10,,N,,"selectSearchOption, searchData, hideColumnName",Contract #,91230024,Contract #,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_2_11,,N,,unHideColumnName,Contract #,,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_2_12,,N,,"selectSearchOption, searchData, freezeColumnName",Contract #,91230024,Contract #,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_2_13,,N,,unFreezeColumnName,Contract #,91230024,Contract #,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_2_14,,N,,"selectSearchOption, searchData, freezeDateTypeColumnName,  sortType",Contract #,91230024,End Of Support,desc,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_2_15,,N,,columnHeadingNames,"publishFlag, salesChannel, productPONumber, productPOOrderDate, maintenancePONumber, maintenancePOOrderDate, productPOShipDate, creationDate",,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_2_16,,N,,ButtonName,Actions,,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_2_0,,N,,testString,test,,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_2_1,,N,,"custName, columnHeadings","Edward, Customer, Contract #, Service Level, Serial Number, Part Number, Qty, Start Date, End Date, Site Name, Site Id",,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_2_2,,Y,,testString,test,,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_2_4,,N,,testString,test,,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_2_6,,N,,InstallSiteCustName,ALIX PARTNERS SAVVIS UK LTD,,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_2_7,,N,,CustAddress,1 SAVVIS PKWY,,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_2_8,,N,,CustCity,JERSEY,,,,,,,,,,,,,,,,,,,,,,,
LineAndDetailDisplay_2_9,,N,,CustCountry,INDIA,,,,,,,,,,,,,,,,,,,,,,,
ServiceNow_Change_TC1,,N,,"ConfItem,Priority,Approval,CRState,Category,AssignGroup,Peoject,ProjectTask,
ShortDesciption,Justification,BusinessImpact,ServiceOutage,ResourceRequirement,
ImplementationStrategy,ReleaseType,AddhocApprover",Weekly Financial Reporting Process,5 - Very Low,Requested,Open,Application,ITG Service Management,106858,3,Project - Test  Automation,Test Automation,Low % of users / non critical services,No downtime of services / no additional services,Low level of effort / resources / collaboration,Low experience / poor understanding of interdependancies,Ad Hoc,Nikky Oberdas,,,,,,,,
ServiceNow_Change_TC2,,N,,"ConfItem,Priority,Approval,CRState,Category,AssignGroup,Peoject,ProjectTask,
ShortDesciption,Justification,BusinessImpact,ServiceOutage,ResourceRequirement,
ImplementationStrategy,ReleaseType,AddhocApprover, depName, depConfigItem, depVersion, depype, depOrder, deppath,depNotes, depTime",Weekly Financial Reporting Process,5 - Very Low,Requested,Open,Application,ITG Service Management,106858,3,Project - Test  Automation,Test Automation,Low % of users / non critical services,No downtime of services / no additional services,Low level of effort / resources / collaboration,Low experience / poor understanding of interdependancies,Ad Hoc,Nikky Oberdas,testOMMDeployment_2_tar.Z,ServiceNow,1,OMM,1,testOMMDeployment_2_tar.Z,test,Business Hours
Line_Actions_1_0,,N,,CustomerName,Alcon,,,,,,,,,,,,,,,,,,,,,,,
Line_Actions_1_1,,N,,CustomerName,Alcon,,,,,,,,,,,,,,,,,,,,,,,
Line_Actions_1_2,,N,,CustomerName,Alcon,,,,,,,,,,,,,,,,,,,,,,,
